City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paoua,7.2427,16.4406,70.65,88,67,3.71,CF,1689804223
1,blackmans bay,-43.0167,147.3167,45.73,74,100,13.94,AU,1689804223
2,arawa,-6.2132,155.5367,81.37,77,75,4.27,PG,1689804223
3,puerto natales,-51.7236,-72.4875,32.2,92,100,2.26,CL,1689804223
4,la passe,45.5549,-0.8967,64.98,88,17,8.1,FR,1689804223
5,waitangi,-43.9535,-176.5597,55.81,91,84,5.01,NZ,1689804223
6,bandarbeyla,9.4942,50.8122,74.79,82,83,29.66,SO,1689804223
7,tazacorte,28.629,-17.9293,73.15,92,75,14.97,ES,1689804223
8,edinburgh of the seven seas,-37.0676,-12.3116,56.52,85,100,18.61,SH,1689804224
9,pokhara,28.2333,83.9833,74.19,77,85,3.67,NP,1689804112
10,chonchi,-42.6128,-73.8092,53.11,97,100,6.73,CL,1689804046
11,kamogawa,35.1,140.1,80.56,92,44,11.07,JP,1689804143
12,papatowai,-46.5619,169.4708,42.93,74,85,8.43,NZ,1689804224
13,nizhniy kuranakh,58.8353,125.4869,51.31,98,100,6.33,RU,1689804105
14,beyneu,45.3167,55.2,78.15,40,2,7.85,KZ,1689804224
15,kruisfontein,-34.0033,24.7314,46.89,75,72,2.55,ZA,1689804224
16,bethel,41.3712,-73.414,81.39,66,83,2.73,US,1689803969
17,vernon,50.2581,-119.2691,93.76,17,70,1.01,CA,1689804224
18,greenwood,34.1668,-82.1165,87.82,62,94,9.78,US,1689804225
19,puerto aysen,-45.4,-72.7,45.75,100,100,5.66,CL,1689804007
20,port-aux-francais,-49.35,70.2167,37.62,85,100,21.36,TF,1689804225
21,sydney,-33.8679,151.2073,43.9,82,0,10.36,AU,1689804225
22,coquimbo,-29.9533,-71.3436,64.35,60,100,1.45,CL,1689804116
23,morinville,53.8001,-113.652,77.49,36,15,7.72,CA,1689804202
24,ushuaia,-54.8,-68.3,29.55,94,100,4.83,AR,1689804172
25,namibe,-15.1961,12.1522,61.93,87,0,4.21,AO,1689804225
26,hwange,-18.3693,26.5019,57.67,41,0,1.83,ZW,1689804225
27,hasaki,35.7333,140.8333,77.4,88,94,12.57,JP,1689804225
28,talnakh,69.4865,88.3972,53.26,65,83,6.93,RU,1689804225
29,anadyr,64.75,177.4833,61.3,72,75,13.42,RU,1689804226
30,fale old settlement,-9.3852,-171.2468,83.12,77,32,14.61,TK,1689804226
31,hermanus,-34.4187,19.2345,51.03,70,51,10.22,ZA,1689804226
32,puerto baquerizo moreno,-0.9,-89.6,81.59,78,20,6.91,EC,1689804226
33,kodiak,57.79,-152.4072,54.91,94,100,0.0,US,1689804226
34,yanam,16.7333,82.2167,78.67,78,100,10.2,IN,1689804226
35,ambon,-3.6954,128.1814,75.34,94,40,4.61,ID,1689803936
36,nuuk,64.1835,-51.7216,47.01,100,75,12.66,GL,1689804226
37,port elizabeth,-33.918,25.5701,49.1,93,75,10.36,ZA,1689804029
38,praia da vitoria,38.7333,-27.0667,72.75,85,100,3.65,PT,1689804226
39,harstad,68.799,16.5293,52.99,100,100,7.0,NO,1689804227
40,romanovo,52.6182,81.2271,70.97,57,100,3.62,RU,1689804227
41,aasiaat,68.7098,-52.8699,41.16,99,100,0.74,GL,1689804227
42,palm valley,30.1775,-81.3876,98.06,73,48,12.75,US,1689804201
43,tazovsky,67.4667,78.7,59.4,92,100,10.87,RU,1689804227
44,abu al matamir,30.9102,30.1744,78.62,62,0,2.73,EG,1689804053
45,albany,42.6001,-73.9662,82.33,64,24,3.31,US,1689804227
46,atafu village,-8.5421,-172.5159,83.66,77,62,16.28,TK,1689804228
47,margaret river,-33.95,115.0667,54.95,72,95,11.88,AU,1689804228
48,yellowknife,62.456,-114.3525,79.56,35,72,9.55,CA,1689804228
49,veseloyarsk,51.2836,81.1056,72.91,44,100,4.16,RU,1689804228
50,georgetown,5.4112,100.3354,80.53,78,20,0.0,MY,1689804035
51,geraldton,-28.7667,114.6,48.61,81,100,11.5,AU,1689804228
52,tateyama,34.9833,139.8667,80.53,91,31,8.01,JP,1689804228
53,college,64.8569,-147.8028,71.08,74,75,0.0,US,1689804228
54,bubaque,11.2833,-15.8333,80.83,82,71,14.92,GW,1689804228
55,adamstown,-25.066,-130.1015,72.21,85,100,25.17,PN,1689804229
56,skelleftea,64.7507,20.9528,57.56,100,100,5.75,SE,1689804204
57,afaahiti,-17.75,-149.2833,73.27,94,45,23.09,PF,1689804229
58,saint-pierre,-21.3393,55.4781,69.48,73,0,8.05,RE,1689804229
59,queenstown,-31.8976,26.8753,38.73,83,48,2.84,ZA,1689804229
60,kiunga,-6.1219,141.2906,72.36,94,96,3.06,PG,1689804229
61,alice springs,-23.7,133.8833,44.15,87,75,4.61,AU,1689804229
62,bengkulu,-3.8004,102.2655,74.7,92,100,7.61,ID,1689804229
63,puerto ayora,-0.7393,-90.3518,85.96,91,19,8.99,EC,1689804229
64,onega,63.9061,38.1404,56.75,97,83,3.06,RU,1689804229
65,muisne,0.6,-80.0333,80.64,83,59,7.78,EC,1689804230
66,nova sintra,14.8667,-24.7167,73.26,83,96,10.18,CV,1689804230
67,valognes,49.5088,-1.4705,58.39,94,0,8.05,FR,1689804230
68,pasuquin,18.3328,120.6177,78.85,85,81,4.85,PH,1689804230
69,copiapo,-27.3667,-70.3333,56.89,23,100,2.82,CL,1689804230
70,invercargill,-46.4,168.35,41.54,82,63,7.65,NZ,1689804230
71,wichita falls,33.9137,-98.4934,109.54,18,0,18.01,US,1689804230
72,keflavik,64.0049,-22.5624,52.23,87,75,9.22,IS,1689804116
73,grytviken,-54.2811,-36.5092,31.44,84,68,12.39,GS,1689804231
74,kandete,-9.15,33.8,54.93,80,78,1.43,TZ,1689804231
75,tadine,-21.55,167.8833,71.51,83,92,8.59,NC,1689804231
76,miquelon,47.0975,-56.3814,64.4,100,93,12.59,PM,1689804231
77,port lincoln,-34.7333,135.8667,55.45,72,96,19.28,AU,1689804231
78,brookings,44.3114,-96.7984,85.17,53,0,13.8,US,1689804231
79,nadym,65.5333,72.5167,65.95,88,99,9.69,RU,1689804216
80,south hedland,-20.4089,118.5983,57.13,54,52,9.22,AU,1689804231
81,polillo,14.7122,121.9392,78.44,89,91,6.82,PH,1689804231
82,changde,29.0464,111.6783,76.66,95,98,4.03,CN,1689804231
83,yala,6.3333,101.25,73.15,96,100,2.89,TH,1689804232
84,amlapura,-8.45,115.6167,75.61,70,52,11.41,ID,1689804232
85,santo angelo,-28.2992,-54.2631,59.29,86,74,9.53,BR,1689804232
86,zhanibek,49.4167,46.85,66.18,63,14,4.97,KZ,1689804232
87,mafinga,-7.25,35.0667,66.47,60,9,5.35,TZ,1689804232
88,vilyuchinsk,52.9306,158.4028,57.47,91,86,4.97,RU,1689804232
89,pontianak,-0.0333,109.3333,73.38,100,100,1.14,ID,1689804017
90,chulakkurgan,43.765,69.1814,74.7,31,0,7.18,KZ,1689804232
91,awjilah,29.1081,21.2869,85.06,45,0,4.94,LY,1689804233
92,bei'an,24.5399,109.533,76.05,95,98,1.48,CN,1689804233
93,malvan,16.0667,73.4667,79.25,85,100,17.6,IN,1689804233
94,bilibino,68.0546,166.4372,59.76,85,96,5.97,RU,1689804233
95,brak,27.5496,14.2714,87.6,24,0,7.61,LY,1689804233
96,dampit,-8.2116,112.7493,64.45,86,18,5.53,ID,1689804233
97,sterling,39.0062,-77.4286,91.0,62,75,5.75,US,1689804233
98,olonkinbyen,70.9221,-8.7187,40.82,91,81,9.73,SJ,1689804233
99,badger,64.8,-147.5333,70.99,73,75,0.0,US,1689804234
100,wailua homesteads,22.0669,-159.378,79.59,84,100,18.41,US,1689804234
101,saint-joseph,-21.3667,55.6167,68.38,85,25,10.36,RE,1689804234
102,la gi,10.6667,107.7833,76.53,93,99,12.06,VN,1689804234
103,altentreptow,53.6833,13.25,55.62,85,93,1.54,DE,1689804234
104,tiksi,71.6872,128.8694,53.24,76,94,6.73,RU,1689804234
105,taulaga,-11.0553,-171.0883,82.8,75,67,12.93,AS,1689804234
106,happy valley-goose bay,53.3168,-60.3315,68.31,88,75,5.75,CA,1689804235
107,naze,28.3667,129.4833,78.85,85,97,10.02,JP,1689804235
108,obock,12.25,43.0833,87.84,27,98,14.85,DJ,1689804235
109,longyearbyen,78.2186,15.6401,51.64,62,0,5.75,SJ,1689804235
110,sao tome,0.3365,6.7273,76.08,87,63,9.48,ST,1689804235
111,flying fish cove,-10.4217,105.6791,74.88,78,75,14.97,CX,1689804235
112,harper,4.375,-7.7169,77.04,87,100,11.56,LR,1689804235
113,stanley,54.868,-1.6985,54.77,93,20,3.44,GB,1689804236
114,kamennogorsk,60.9545,29.1339,61.52,72,94,5.01,RU,1689804236
115,yangjiang,21.85,111.9667,78.17,92,94,5.23,CN,1689804178
116,gamba,-2.65,10.0,72.03,83,98,5.5,GA,1689804236
117,hlukhiv,51.6782,33.9162,58.46,68,78,6.11,UA,1689804236
118,punta arenas,-53.15,-70.9167,35.19,66,100,4.25,CL,1689804236
119,bikenibeu village,1.3673,173.1241,87.76,70,40,10.36,KI,1689804236
120,zouerate,22.7187,-12.4521,99.41,19,7,18.61,MR,1689804236
121,remire-montjoly,4.9167,-52.2667,82.44,78,75,4.61,GF,1689804236
122,pisco,-13.7,-76.2167,69.85,68,40,9.22,PE,1689804237
123,kuanda,56.3161,116.0806,51.12,83,81,2.1,RU,1689804237
124,champerico,14.3,-91.9167,86.83,68,27,8.48,GT,1689804237
125,changping,40.2186,116.2197,76.64,36,97,1.97,CN,1689804090
126,hamilton,39.1834,-84.5333,84.42,77,0,8.05,US,1689804237
127,prado,-17.3411,-39.2208,71.37,82,14,6.73,BR,1689804237
128,nagqu,31.5,92.0,34.84,86,15,3.09,CN,1689804142
129,west island,-12.1568,96.8225,76.98,78,75,17.27,CC,1689804237
130,lihue,21.9789,-159.3672,80.19,84,100,18.41,US,1689804237
131,necochea,-38.5473,-58.7368,47.12,65,99,14.47,AR,1689803945
132,karratha,-20.7377,116.8463,62.29,65,29,10.49,AU,1689804238
133,saryaghash,41.45,69.1667,82.33,31,18,7.65,KZ,1689804238
134,udachny,66.4167,112.4,62.2,71,48,11.14,RU,1689804238
135,san pedro,14.35,121.0167,79.2,95,100,1.99,PH,1689804238
136,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,100,100,6.71,RU,1689804033
137,lompoc,34.6391,-120.4579,92.79,72,75,9.22,US,1689804238
138,codrington,-38.2667,141.9667,49.6,53,100,25.64,AU,1689804238
139,san antonio oeste,-40.7319,-64.9477,54.63,50,100,24.58,AR,1689804238
140,saudarkrokur,65.7461,-19.6394,45.73,82,40,1.81,IS,1689804238
141,kingscliff,-28.2667,153.5667,57.76,62,0,5.75,AU,1689804239
142,nacozari viejo,30.4,-109.65,99.97,17,0,4.18,MX,1689804135
143,isafjordur,66.0755,-23.124,49.62,74,84,3.04,IS,1689803947
144,arraial do cabo,-22.9661,-42.0278,67.86,88,100,11.5,BR,1689804239
145,nar'yan-mar,67.6713,53.087,55.81,83,13,11.59,RU,1689804239
146,lorengau,-2.0226,147.2712,82.11,74,68,5.7,PG,1689804239
147,hawaiian paradise park,19.5933,-154.9731,81.91,95,100,14.97,US,1689804239
148,kodinsk,58.6881,99.1844,56.98,65,2,0.85,RU,1689804240
149,avarua,-21.2078,-159.775,71.65,53,75,6.91,CK,1689804240
150,kani keli,-12.9536,45.1033,76.26,68,29,9.95,YT,1689804240
151,vorgashor,67.5833,63.95,60.26,85,80,5.48,RU,1689804240
152,wewak,-3.5534,143.6268,79.07,86,20,4.18,PG,1689804240
153,yurgamysh,55.3714,64.4656,58.32,93,36,4.9,RU,1689804058
154,ribeira grande,38.5167,-28.7,71.78,87,100,3.0,PT,1689804241
155,abong mbang,3.9833,13.1833,68.18,99,99,2.82,CM,1689804241
156,aykhal,66.0,111.5,59.99,78,54,9.46,RU,1689804241
157,la'ie,21.6477,-157.9253,85.96,79,61,11.01,US,1689804241
158,hun,29.1268,15.9477,85.53,39,0,10.18,LY,1689804241
159,northam,51.0333,-4.2167,59.61,87,2,7.18,GB,1689804241
160,bria,6.5423,21.9863,70.39,96,100,1.7,CF,1689804241
161,east london,-33.0153,27.9116,52.68,74,95,8.9,ZA,1689804036
162,dazhou,31.2159,107.5009,73.0,97,87,1.61,CN,1689804136
163,ixtapa,20.7,-105.2,93.22,70,40,13.8,MX,1689804241
164,mareeba,-17.0,145.4333,67.48,88,88,2.77,AU,1689804242
165,weno,7.4515,151.8468,83.53,77,100,9.31,FM,1689804242
166,utrik,11.2278,169.8474,83.43,81,100,19.95,MH,1689804242
167,egilsstadir,65.2653,-14.3948,42.98,91,54,6.64,IS,1689804242
168,dryden,49.7833,-92.7503,61.09,100,100,8.05,CA,1689804242
169,pudozh,61.8099,36.5345,56.57,99,100,7.43,RU,1689804242
170,ta`u,-14.2336,-169.5144,80.13,76,94,24.79,AS,1689804243
171,torghay,49.6339,63.4981,69.01,59,0,9.84,KZ,1689804010
172,mombetsu,44.3525,143.3525,65.12,87,14,3.15,JP,1689804243
173,scarborough,54.2797,-0.4044,55.78,89,57,1.01,GB,1689804243
174,erie,42.7667,-78.6664,80.1,48,39,6.6,US,1689804243
175,cacador,-26.7753,-51.015,48.25,96,100,6.02,BR,1689804243
176,new norfolk,-42.7826,147.0587,46.92,81,100,3.69,AU,1689804243
177,jijiang,29.2906,106.2542,74.12,98,100,1.92,CN,1689804243
178,corner brook,48.9667,-57.9484,72.5,98,78,3.69,CA,1689804243
179,belmonte,-15.8631,-38.8828,72.7,75,20,8.66,BR,1689804243
180,solnechnyy,50.7214,136.6319,75.85,56,70,2.42,RU,1689804244
181,hadibu,12.65,54.0333,77.31,80,93,21.05,YE,1689803988
182,mahina,-17.5065,-149.489,74.97,94,75,27.63,PF,1689804244
183,wabu,37.5897,127.2203,74.82,86,0,1.36,KR,1689804244
184,iskateley,67.6803,53.1512,55.71,83,13,11.5,RU,1689804244
